City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
61,Port Alfred,ZA,65.21,clear sky,-33.5906,26.891,The Halyards Hotel
63,Vinces,EC,80.49,few clouds,-1.55,-79.7333,El Señor de los Caballos Hotel - Spa
65,Saint-Philippe,RE,71.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
68,Kapaa,US,76.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Labuan,MY,84.11,heavy intensity rain,5.2767,115.2417,Tiara Labuan Hotel
71,Bima,ID,78.08,overcast clouds,-8.4667,118.7167,Lambitu Hotel
74,Mitsamiouli,KM,80.89,light rain,-11.3847,43.2844,Foyer ADM
76,Little Current,CA,64.49,overcast clouds,45.9793,-81.9248,Hawberry Motel
77,Tabuk,PH,74.77,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
78,Hilo,US,71.33,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
79,Noumea,NC,64.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
80,Pirai,BR,72.48,overcast clouds,-22.6292,-43.8981,Sonhos e Delicias da Terra
87,Adeje,ES,76.3,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
88,Arraial Do Cabo,BR,71.56,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
92,Samarai,PG,79.12,overcast clouds,-10.6167,150.6667,Nuli Sapi
93,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
95,Banda Aceh,ID,80.37,broken clouds,5.5577,95.3222,Sulthan Hotel International
96,Saint George,US,61.36,fog,37.1041,-113.5841,Best Western Plus Abbey Inn
98,Kununurra,AU,78.78,few clouds,-15.7667,128.7333,Hotel Kununurra
101,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
103,Saint-Pierre,RE,71.29,light rain,-21.3393,55.4781,Lindsey Hôtel
104,Songadh,IN,78.6,overcast clouds,21.1667,73.5667,SPOT ON 61520 Shivam Guest House
107,Bethel,US,66.29,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
109,Lake Havasu City,US,68.23,clear sky,34.4839,-114.3224,Heat Hotel
110,Grand Gaube,MU,73.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
112,Bredasdorp,ZA,68.29,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
113,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
114,Lasa,IT,61.68,clear sky,46.6166,10.7002,Pension Feldgärtenhof
117,Praia Da Vitoria,PT,75.76,few clouds,38.7333,-27.0667,Hotel Branco I
120,Arenzano,IT,69.55,few clouds,44.4052,8.6832,Grand Hotel Arenzano
122,Lorengau,PG,81.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
123,Cozumel,MX,88.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
126,Pasni,PK,81.99,clear sky,25.2631,63.471,Kashmiri Hotal
129,Paracale,PH,78.3,broken clouds,14.2804,122.7881,Waling Waling center Paracale
132,Bhikhi,IN,82.45,clear sky,30.0667,75.5333,ਡਾਕਟਰ ਸਰੇਸ ਬਾਂਸਲ।
134,Westonaria,ZA,80.69,clear sky,-26.3191,27.6486,Nolikha Bed & Breakfast Conference Area
