City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
94,Yuzhou,CN,34.1628,113.4639,59.27,76,98,9.35,light rain,2021-10-09 15:27:49
95,Banda Aceh,ID,5.5577,95.3222,80.37,82,67,12.66,broken clouds,2021-10-09 15:25:03
96,Saint George,US,37.1041,-113.5841,61.36,98,75,3.44,fog,2021-10-09 15:20:56
97,Port Lincoln,AU,-34.7333,135.8667,51.42,73,48,11.95,scattered clouds,2021-10-09 15:24:54
98,Kununurra,AU,-15.7667,128.7333,78.78,61,18,3.44,few clouds,2021-10-09 15:27:49
99,New Norfolk,AU,-42.7826,147.0587,47.7,64,30,3.0,scattered clouds,2021-10-09 15:24:13
100,Kodiak,US,57.79,-152.4072,47.71,49,75,10.36,broken clouds,2021-10-09 15:24:45
101,Mount Isa,AU,-20.7333,139.5,83.97,30,85,5.75,overcast clouds,2021-10-09 15:26:41
102,Tiksi,RU,71.6872,128.8694,22.82,85,98,8.23,overcast clouds,2021-10-09 15:25:20
103,Saint-Pierre,RE,-21.3393,55.4781,71.29,82,90,20.71,light rain,2021-10-09 15:24:22
104,Songadh,IN,21.1667,73.5667,78.6,90,100,3.6,overcast clouds,2021-10-09 15:27:50
105,Deputatskiy,RU,69.3,139.9,16.05,86,100,4.79,overcast clouds,2021-10-09 15:27:51
106,Fairbanks,US,64.8378,-147.7164,37.31,91,90,0.0,light snow,2021-10-09 15:25:32
107,Bethel,US,41.3712,-73.414,66.29,76,90,3.0,overcast clouds,2021-10-09 15:23:48
108,Nome,US,64.5011,-165.4064,37.47,70,90,6.91,overcast clouds,2021-10-09 15:24:03
109,Lake Havasu City,US,34.4839,-114.3224,68.23,29,1,1.01,clear sky,2021-10-09 15:23:31
110,Grand Gaube,MU,-20.0064,57.6608,73.8,75,11,8.99,few clouds,2021-10-09 15:25:40
111,Nikolskoye,RU,59.7035,30.7861,53.87,81,100,6.2,light rain,2021-10-09 15:24:38
112,Bredasdorp,ZA,-34.5322,20.0403,68.29,52,21,12.66,few clouds,2021-10-09 15:24:47
113,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,14.97,light rain,2021-10-09 15:24:26
114,Lasa,IT,46.6166,10.7002,61.68,54,6,3.4,clear sky,2021-10-09 15:26:09
115,Torbay,CA,47.6666,-52.7314,47.57,79,75,35.68,light rain,2021-10-09 15:25:41
116,Longyearbyen,SJ,78.2186,15.6401,21.04,73,20,8.05,few clouds,2021-10-09 15:24:12
117,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,73,20,14.56,few clouds,2021-10-09 15:27:55
118,Krasnoselkup,RU,65.7,82.4667,30.13,80,100,18.05,overcast clouds,2021-10-09 15:26:46
119,Shitanjing,CN,39.2342,106.3439,40.19,27,35,11.5,scattered clouds,2021-10-09 15:27:55
120,Arenzano,IT,44.4052,8.6832,69.55,42,20,13.8,few clouds,2021-10-09 15:27:56
121,Saskylakh,RU,71.9167,114.0833,8.64,100,100,2.62,overcast clouds,2021-10-09 15:24:15
122,Lorengau,PG,-2.0226,147.2712,81.43,77,85,4.41,overcast clouds,2021-10-09 15:27:56
123,Cozumel,MX,20.5083,-86.9458,88.0,84,40,1.99,scattered clouds,2021-10-09 15:27:56
124,Baherden,TM,38.4362,57.4316,52.5,27,0,3.94,clear sky,2021-10-09 15:27:57
125,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.39,66,1,4.61,clear sky,2021-10-09 15:27:57
126,Pasni,PK,25.2631,63.471,81.99,74,0,9.04,clear sky,2021-10-09 15:27:57
127,Geraldton,AU,-28.7667,114.6,57.61,62,0,13.8,clear sky,2021-10-09 15:25:28
128,Iqaluit,CA,63.7506,-68.5145,37.13,86,90,8.01,overcast clouds,2021-10-09 15:24:45
129,Paracale,PH,14.2804,122.7881,78.3,89,54,5.66,broken clouds,2021-10-09 15:27:58
130,Lavrentiya,RU,65.5833,-171.0,29.97,83,89,11.32,overcast clouds,2021-10-09 15:24:27
131,Saint-Louis,SN,16.3333,-15.0,103.64,13,100,4.76,overcast clouds,2021-10-09 15:27:59
132,Bhikhi,IN,30.0667,75.5333,82.45,32,0,4.03,clear sky,2021-10-09 15:27:59
133,Ozerne,UA,50.1782,28.7338,46.29,39,17,7.49,few clouds,2021-10-09 15:27:59
134,Westonaria,ZA,-26.3191,27.6486,80.69,9,4,12.66,clear sky,2021-10-09 15:28:00
135,Kostomuksha,RU,64.571,30.5767,47.55,94,100,5.5,overcast clouds,2021-10-09 15:28:00
136,Zapolyarnyy,RU,69.4154,30.8136,36.68,99,100,8.93,overcast clouds,2021-10-09 15:28:00
137,Nyurba,RU,63.2842,118.3319,34.84,96,100,13.06,overcast clouds,2021-10-09 15:28:01
138,Fortuna,US,40.5982,-124.1573,45.43,89,9,3.51,clear sky,2021-10-09 15:23:53
139,Ponta Do Sol,PT,32.6667,-17.1,78.71,68,20,1.21,few clouds,2021-10-09 15:24:22
140,Avarua,CK,-21.2078,-159.775,66.25,94,98,2.3,overcast clouds,2021-10-09 15:25:27
141,Basco,PH,20.4487,121.9702,83.75,79,31,23.94,scattered clouds,2021-10-09 15:28:02
